,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
2170,Jon Tu,Saskatchewan,Athlete,Badminton,21,164,68,Loi's Badminton,Cinnati Loi,,,,,,,,,,0,0,0,0
2171,Ella Ruth Tucker,Newfoundland and Labrador,Athlete,Cross Country Skiing,15,168,55,blow me down,Luke Dunphy and James Merrigan,,,,"To do my best, focus on my own times and results and to make some new friends from across the country!",First place finish in Newfoundland cup and Newfoundland cup races.,,Jessie Diggins and Sadie Bjornsen from the american world cup and olympic team.,I started skiing as a young child with my parents.,,0,0,0,0
2172,Jake Tucker,Yukon,Athlete,Table Tennis,13,164,45,,Kevin Murphy,,,,To do my best,To be selected for the Canada Games,,Kevin Murphy,My friend introduced me to it,,0,0,0,0
2173,Rio A Tucker,Saskatchewan,Athlete,Snowboard,14,,,Team Saskatchewan,Wild Bill,,,,,,,,,,0,0,0,0
2174,Sophie Tulk,Newfoundland and Labrador,Athlete,Squash,13,,,,Alex Lye,,,,,,,,,,0,0,0,0
2175,Findlay Tulloch,Nova Scotia,Athlete,Speed Skating,15,177,57,Dartmouth crossing speed skating club,Connor Taugher,,,,,,,,,,0,0,0,0
2176,Meredith Tulloch,Nova Scotia,Athlete,Ringette,19,,,,,,,,,,,,,,0,0,0,0
2177,Dylan Tully,Manitoba,Athlete,Judo,14,171,74,Nakamura Judo Club,Airton Nakamura,,,,My goal for the Games is to compete to the best of my ability and to come home knowing I did my best.,Gold,,My personal role models are those who have helped direct my path of education and sport in a positive manner.,"I got involved with judo to have fun and compete against others. I wanted to join an individual sport because it would boost my self-reliance, esteem, and perseverance.",,0,0,0,0
2178,Ben Tumack,Alberta,Athlete,Wheelchair Basketball,21,172.72,79.37,Alberta Northern Lights,Ross Norton,"4.5, Guard",,,Win Gold on home soil. Have fun.,Gold,2018 D2 NWBA 1st Team All Star.,,I got involved in wheelchair basketball when I was 8 years old. There was a demo at the University of Alberta where I met 2 Senior Women's national team players. Afterward I fell in love with the pace of the game and just the community in general.,,1,0,0,1
2179,Matthew Turcotte,Quebec,Athlete,Archery,19,Qip,65,CTAM,Viken Kayabalian,Tir à l’arc,,,Podium!!!,697\720,,"Mon père, mon entraineur et les champions du monde",Apres avoir vu le Vegas shoot 2013 sur youtube!,,1,0,0,1
2180,Mac Turner,Ontario,Athlete,Biathlon,20,178,65,Rocky Mountain Racers,Luke McGurk,,,,"To place top 5 in the country, and to represent my province to the best of my abilities and honour all those who have supported my athletic career this far!","3rd at Canadian Nationals, 2017","-2016 Youth Women overall NorAm point leader
-Named to the 2015 CWGs team for Ontario","My parents: they embody everything I respect in sport and in life, and the kind of person I want to grow into.",Saw it on TV and thought it was cool! I lived on a farm where my dad made and groomed my own ski trails and built me my own training range.,,0,0,0,0
2181,Ryder Twardochleb,Yukon,Athlete,Hockey,14,"5'10""",130,Yukon Rivermen,Scott Palfreyman / Kerry Pettitt (Rivermen),Defence,,,"To play well, and enjoy the experience",,,My Parents,Was introduced in the sport at a young age and have enjoyed it ever since,,0,0,0,0
2182,Eliana Tzaneteas,Nova Scotia,Athlete,Alpine Skiing,17,161.5,63.5,JL ILSLEY HIGH SCHOOL,Ms. Harris,,,,My goals for the games are to give it my all and do the best I can.,SG is my strongest discipline. I have placed in top 3 on numerous races.,"I have received the Kelly Wynot award for best U12 female in NS.
NS School Athletic Federation Skiing champions 3 years running.",My personal role model is Lindsay Vonn. She is a tough competitor who perseveres through all her injuries.,My mother introduced me to skiing and I loved it! Had a few friends racing and I joined the race club and have never looked back!,,0,0,0,0
2183,Kai Uchacz,Alberta,Athlete,Hockey,15,183,81.65,Okotoks Bow Mark Midget AAA Oilers,Ken Plaquin,Center,Kai Uchacz,Kai Uchacz,"Win 1st place, be the best team mate and lead by example, and be the most valuable player/person I can be, play with confidence, leave as a better player/person, and have fun.",Being selected for top 3 forward at Alberta Cup.,"Alberta Cup All Star Player, Bantam AAA MVP & Top Scorer, Bantam AA Top Scorer, Peewee AA 2nd year MVP & Top Scorer, Peewee AA 1st year Top Scorer, Grade 7,8,9 honours with highest distinction. Grade 9 Faith Award",Sidney Crosby,My Father had me skating at 2 years old and playing hockey when I was 4 years old and I loved the game ever since.,,0,0,1,1
2184,Hunter Ullett,Manitoba,Athlete,Speed Skating,18,181,65,Stage 2 Short Track,Cristina Lazarescu,,,,"Do the best I can in all my events, have fun, and get good experience racing against the best from other provinces.","500m: 44.091
1000m: 1:32.22
1500m: 2:24.006",,Tyler Williamson Derraugh,I watched all of the short track speed skating in the 2010 Olympics and thought it was so cool and after I quit playing hockey at 12 I decided to try it and I loved it,,0,0,0,0
2185,Sam Ulrich,Manitoba,Athlete,Judo,15,177.8 cm,93,west kildonan judo club,mark berger,athlete,,,My goal is to work hard and to win gold.,Winning nationals in 2017.,,My role model is my mom as she has supported me so much with my judo.,My parents knew that I was strong from a young age. They looked into a sport that would let me use my strength. After the first throw I was hooked on judo.,,0,1,0,1
2186,Brayden Uluqsi,Nunavut,Athlete,Hockey,16,180.3,69.8,The Mount Academy,Tim Macphee,Defense,,,To perform well in hockey games. To be the best player to the best of my ability.,Penalty killing.,Best Defenseman Awards,Erik Karlsson,"I started playing hockey when I was 4 years old. At that age, I had a passion for hockey.",,0,0,0,0
2187,Ashton Underhill,Yukon,Athlete,Hockey,15,180,70,Prince George Minor Midget Cougars,Brian Toll,Right wing,,,To be seen by scouts and other teams. To show what I can do on and off the ice. To have a great experience,,,Alex Ovechkin,I have wanted to play hockey since I was little.,,0,0,0,0
2188,Amy Upton,Quebec,Athlete,Curling,15,161.82,56.67,Pointe-Claire,Neil Gargul,Lead,,,To play to the best of my abilities.,,,,I began playing at a young age because my older sister was playing.,,0,0,0,0
2189,Paula Urquidi,British Columbia,Athlete,Gymnastics,17,157.5,53,Langley Gymnastics Foundation,Liudmila Lobaznyuk,Athlete,,,"My goals for the games include:
- hit routines
- encouraging and leading my team
- being a positive and exemplary teammate
- consistency in training and confidence in competition",A score of 9.5 on beam,"- provincial champion 2018
- most dedicated at my club 2015-2017
- athlete of the year at my club 2018
- brilliant beam award at qualifiers for westerns and national championships 2017","My personal role model is my mom, she is so inspiring kind and driven in every aspect of her life. Her tenacity is truly admirable and I strive to carry those same characteristics in my life and gymnastics.","I had always been drawn to gymnastics for some reason, watching the Olympics on TV as a young child. One summer when I was eight years old I finally convinced my parents to put me in a gymnastics summer camp. The coaches there recognized my natural strength and gave me the opportunity to try out for the competitive program. That same year I began competing and training competitively.",,0,0,0,0
2190,Adam Usher,British Columbia,Athlete,Alpine Skiing,15,176,71,Whistler Mountain Ski Club,Drew Hetherington,,,,To place somewhere among the top 10 since this is my first national race.,1st,,,"My parents taught me how to ski when I was only 3 years old, and when I was 11 years old I thought it would be really fun to try racing.",,0,0,0,0
2191,Jennifer Rachel Grace Utendale,British Columbia,Athlete,Figure Skating,25,144,58,,,,,,"Have fun, make new friends, do my best",Gold in regionals,"""Yes I Can"" in 2012 for extracurricular activities
Bronze medal at Special O Nationals in 2012",My friend Alexandra McGee,Mom wanted me to learn how to skate and be active,,0,0,0,0
2192,Kiah Vail,Northwest Territories,Athlete,Hockey,17,162,58,,,,,,,,,,,,0,0,0,0
2193,Sandrine Vaillancourt,Quebec,Athlete,Freestyle Skiing,18,165,,Club de ski acrobatique du mont ste-Anne,,,,,"Avoir du plaisir, rencontrer de nouvelles personnes et vivre cette merveilleuse experience",,athlete argent des bourses de la ville de Drummondville,,Grace à mon frere qui l'avait commencé avant moi et apres quelques années je suis complètement tombée en amour moi aussi,,0,1,1,2
2194,Aleksas Valadka,Ontario,Athlete,Alpine Skiing,15,181,77,Georgian Peaks,,,,,"Ski well, Learn something every day and improve every day.",1st place in races during U14 and 2nd place during U16 first year,Fastest U19 during Georgian Peaks Club Championships.,Marcel Hirscher,My Father raced as a kid and got me into skiing and racing when I was young and loved it ever since.,,0,1,2,3
2195,Brooke Valancius,British Columbia,Athlete,Ringette,18,5'4'',165,LMRL,Sam Crowe,Forward,N/A,N/A,to medal in the CWG,making the Canada winter games team for bc,N/A,"my sister, Hailey Valancius",My sister started playing the sport and I was intrigued watching her play as I was in the stands.,,0,0,0,0
2196,Ryli Vallière,Ontario,Athlete,Archery,17,,,CCH Crusaders,Joan McDonald,Olympic Recurve,RyliValliere,RyliValliere,"To have fun, make new friends and learn something new.",,Do shoutouts from Ron MacClean and Stephen Amell count?,"Sinceriously, Stephen Amell and Evanna Lynch","From the movie Narnia. I would pick up sticks on my way home from school to make my own bow and arrows, and practice inside our home. My mom promised to enroll me in archery lessons as long as I would stop shooting inside the house",,0,0,2,2
2197,Nick van Bakel,British Columbia,Athlete,Wheelchair Basketball,17,188,73,GISS Scorpions Basketball and Volleyball teams,,,@n_vanbakel,@n_vanbakel,"I am looking forward to the opportunity to compete in national level wheelchair basketball. My goals are to help Team B.C. succeed, and to enjoy the whole experience of the 2019 Canada Games.","My accomplishments are my teams accomplishments. We won gold at the 2017 Junior Western Regionals, and we placed fifth at Junior Nationals in Montreal.","Top Academic Award (2015, 2016)",Tim Frick,"When I was in grade six, wheelchair basketball was brought to our school by Tim Frick, a former Team Canada coach who also lives on Pender Island. During the week-long wheelchair basketball exhibition the whole school experienced playing wheelchair basketball. I continued to play occasionally until September 2015 when I started regular training to prepare for the 2016 BC Games in Penticton.",,0,0,0,0
2198,Abbey Van Duzer,Ontario,Athlete,Alpine Skiing,14,"5'5""",105lbs,Craigleith Racing,,,,,"I am honoured to be a part of the Games and Team Ontario!!!. I will do my very best, and hopefully medal. I also would like to meet lots of great people and to watch some other events.",Winning:),,Melanie Schwartz Canadian Para Skier currently skiing for team U.S.A.,"Some friends of the family have a daughter with a leg amputation and she is a great para skier! They convinced us to give it a try and I really like it and felt I was good at it. If it wasn't for them, I never would have gotten into skiing.",,0,0,1,1
2199,Alexi Van Houtte-Cachero,Quebec,Athlete,Hockey,15,180.34,73.03,Lac St Louis Lions Midget AAA Hockey,Coach Jon GOYENS,Forward,NA,NA,Do whatever it takes to help Team Quebec medal at the games.,Provincial Championship,"Recipient of ""The Young Scholar Award"" for his academic performances from the Philippine Benevolent Scholarship Society of Quebec and Quebec Association of Canadian-Filipino

2 time recipient of Lac St Louis Lions Leadership Award
Recipient of the Lac St Louis Lions First Team All Star Bantam AAA",Both my grandfathers are my role models. They taught me the value of hard work and how to be relentless in the pursuit of my dreams.,"My parents wanted me to learn how to skate so that I could play hockey with my friends on the outdoor ice during the winter so they enrolled me in Can Skate. Mom and Dad never thought about registering me with our local minor hockey association until they noticed that kids who were in the pre-novice programs were improving their skating skills faster than I was at the time. Well, my parents enrolled me into pre-novice hockey when I was 5yrs old. I am grateful to my parents for giving me the opportunity to play this game I love. I have lived so many unforgettable experiences and met so many wonderful people because of hockey. I look to the future ready to embrace what other adventures hockey will bring my way.",,1,0,0,1
2200,Brett Van Nieuw Amerongen,Manitoba,Athlete,Ringette,19,174,65.7,,"Rob Walker, Ashley Lutz, Andrea Ferguson",Defence,brett_VNA,brett_VNA,My main goal for the game is to come home with a gold medal. My other goals include improving as a player and to make sure i couldn't have done more to help my team.,,In 2014 I received a defensive allstar award at the wcrc.,,"An older cousin of mine encouraged me to go to a come try ringette. from there i was sold and although i was young and didnt know much about it, i fell in love with the sport.",,0,0,1,1
2201,Julie Vandal,Quebec,Athlete,Ringette,19,153,,Fusion Gatineau LNR,Paul Youldon,,,,,,,,,,1,0,0,1
2202,Erik Vandersanden,Ontario,Athlete,Judo,18,174,66kg,,,,,,To win,1st at nationals 2018,Outstanding junior Male athlete award (upper Canada judo club),Batman,My mom,,1,0,1,2
2203,Wesley Vangel,Yukon,Athlete,Alpine Skiing,15,162.5,60,Alpine Yukon,Yves Titley,Yukon Athlete,n/a,n/a,,,,,,,0,0,0,0
2204,Carmen VanWychen,Nova Scotia,Athlete,Table Tennis,17,"5'7""",125lbs,Musquodoboit Valley Table Tennis Club,Erica Ans,,,,,2016 Atlantic Championships- U15 Girls- 1st place,,,,,0,0,0,0
2205,Luke Vardy,Nova Scotia,Athlete,Hockey,15,179cm,77.1kg,Dartmouth Steele Subaru Major Midget,Steve Crowell,Defense,@lukevardy2003,@lukevardy2003,"To support my team and be a reliable defenseman at all times
To represent my province well
Help team NS advance to a medal round
Show my ability to handle pressure situations
Be a leader for my team",,"2018 19 top points in regular season for rookie defenseman in NS major midget hockey league
2017 18 awarded top defenseman in NS major bantam league
2017 18 named to NS first all star team
2016 17 top rookie defenseman in NS major Bantam league
2015 16 top defenseman at peewee Atlantic’s tournament
2015 16 name first all star team at peewee provincials",My grandfather-he played a lot of high level hockey himself. He grew up playing hockey in Newfoundland and got an invite to a Montreal canadiens tryout.,My parents enrolled me at age 5 and the rest is history. I love the sport.,,0,0,0,0
2206,Natasia Varieur,Ontario,Athlete,Biathlon,18,5'4,,WNDC,Etienne Letondeur,,,,To strive for my personal best.,I have had some first place finishes at North American Cup Races.,Dara Howell Grant for Female Athletes,,"I tried biathlon during an introductory event at Highlands Nordic. I immediately knew that I was interested in pursuing the sport, and joined the competitive .22 program that spring.",,0,0,0,0
2207,Joelle Adriana Vega,Quebec,Athlete,Squash,16,,,Club Sportif MAA,Yvon Provencal,,,,"My goal for the games is to do my very best to get the highest ranking for my team and province. I want to have fun, this is usually most difficult since I always put so much pressure on myself to do more than my best. I want to be pushed to my limits and to make new bonds and strengthen the ones of my team.",,,John Lamont,"I used to play hockey for five years with boys. After I quit, I spent over a year doing nothing active, so my mother decided that it was time that I try something new. At her gym, there was squash, so she signed me up for a free initiation class and I immediately fell in love with it.",,0,0,0,0
2208,Audrey Veilleux,Quebec,Athlete,Artistic Swimming,16,170,,Dollard Synchro,Laura Swift,,,,"Mon principal objectif est d'avoir du plaisir dans l'ensemble du processus des Jeux du Canada tout en donnant mon 100%.
Sinon, j'aimerais que mon équipe et moi atteigne le meilleur de nos capacités pour représenter fièrement notre province.
Finalement, j'aimerais rapporter le plus d'expérience possible des Jeux et le tourner à mon avantage pour devenir une meilleure athlète et personne.","Avoir été sélectionnée sur l'équipe nationale 13-15 ans en 2017.
Être terminée 23e en figures imposées lors du COMEN Cup en 2017.",,,"Auparavant, je pratiquais la gymnastique, puis mes parents m'ont demandé si je voulais essayer un nouveau sport. Ma mère m'a alors suggéré la nage synchronisée, j'ai tentez le coup et ça finis que j'étais toujours heureuse à la piscine, donc j'ai continuée dans cette voie.",,0,2,0,2
2209,Piaper Veinotte,Quebec,Athlete,Biathlon,18,160,,Chelsea Nordiq,Eric Schryer,,,,To have fun!,2017 national champion in the senior girls individual event.,,,,,0,1,0,1
2210,Igor Velicico,Quebec,Athlete,Gymnastics,16,163 CM,61 KG,CENTRE PERE SABLON,KADER MECELLEM,JUNIOR/GYMNASTIQUE,,,TOP 5,8,,kohei uchimoura,j aimais faire des flips alors mes parents m ont envoyer faire de la gym,,0,1,0,1
2211,Kobe Verbicky,British Columbia,Athlete,Hockey,15,180,70.3,North Island Silvertips MML,Joey Ewing,Forward,,,"To work hard, be a good team mate and win for my province. I am looking forward to playing with this great group of players and want to take it all in and head home with some great memories.",Making Team BC is definitely up there. Also playing my first two regular season games with the Edmonton Oil Kings in Dec 2018.,"2018/19 Assistant Captain MML North Island Silvertips - First Year Player
Dec 2017 Pat Quinn Classic Top Scorer Award","My uncle James. He’s a very successful artist, which is hard to do. He’s taught me to find your passion, dream big, work hard and be generous. In terms of hockey, I’m inspired by Nathan MacKinnon","My mom worked at the local rink. As soon as she put me on the ice when I was four, I sprinted. I was instantly hooked on the speed.",,0,0,0,0
2212,Victoria Verrelli,Quebec,Athlete,Figure Skating,16,5 ft 4,,,Patrice Lauzon,,,,To receive a personal best score and get on the podium,,,,,,0,0,0,0
2213,Scott Verschoor,New Brunswick,Athlete,Speed Skating,18,188,79,,Miriam Verschoor,,,,,,,,,,0,0,0,0
2214,Rebecca Villa,Manitoba,Athlete,Judo,14,175,63,Nakamura Judo Club,Airton Nakamura,,,,To win gold.,2nd Sask Open/ 1st St. Boniface Judo Tournament,Most dedicated 3 years in a row/ Most improved,Daria Bilodid,My parents put me in it for fitness and self defence.,,0,0,0,0
2215,Devin Vogel,Northwest Territories,Athlete,Hockey,15,5ft 10,65kg,,,Goalie,,,,,,,,,0,0,0,0
2216,Garren Voisey,Nunavut,Athlete,Hockey,15,180,86,Ontario Hockey Academy,Jeff Legue,Defence,,,Play the best I can and try to win our games,,"Athlete of the month(Hedges Middle School)
Most Valuable Player(Rankin Rock Cup tournament)",Erik Karlsson,I've always enjoyed hockey since I was 5 and started playing on the ice since I was 8 years old.,,0,0,0,0
2217,Oliver von Kursell,Nova Scotia,Athlete,Freestyle Skiing,16,"5' 8""",160,Nova Scotia provincial team,Thor Durning,,,,"To land a clean run in all of my events, and have a good time.",1st in Slopestyle for the Atlantic series.,,Brad Davies,"I started skiing when I was young with my family, and got more into freestyle with my friends later on.",,0,0,0,0
2218,Isaac Vos,Prince Edward Island,Athlete,Hockey,14,,,,,,,,,,,,,,0,0,0,0
2219,Reid Alan Vos,Prince Edward Island,Athlete,Hockey,16,,,,,,,,,,,,,,0,0,0,0
2220,Eric Voss,Ontario,Athlete,Wheelchair Basketball,23,154,65.7,National Academy,Michael Frogley,,,,"Play my best thru sportsmanship and skill.
To represent Ontario at the best of my abilities and make my teammates and family proud",gold in Mexico at the world jr national championhips,all star 2012 junior east regional championship Halifax,my sister Erin,was introduced at age 9 thru a family friend who played the sport and thought I would enjoy it. I have loved it ever since,,0,1,0,1
2221,Jordy Voykin,Saskatchewan,Athlete,Ringette,16,167,,Saskatoon Blazers,Erin Cumpstone,Defence,,,My goal for the games is to play with heart and leave everything on the ice. I want to make long lasting memories with my team and make Saskatchewan proud.,,,,I got involved in ringette when I was 8 years old because I wanted to get involved in a team sport. We knew a few families involved in ringette and they talked about what a fun game it was and how they had made so many great friendships through it.,,0,0,0,0
2222,Keagan Waddington,Saskatchewan,Athlete,Speed Skating,15,,,,,,,,,,,,,,0,0,0,0
2223,Dylan Wade,New Brunswick,Athlete,Squash,15,173,58,Squash Moncton,Justin Saulnier,,,,Have a great time and play my best for my team and province.,2 final men's c and winner junior silver.,,,"By chance, we discovered the squash club by dropping off baseball equipment next door. We walked in and Coach greeted us. I've played ever since.",,0,0,0,0
2224,Joelle Wade,New Brunswick,Athlete,Squash,12,147,33,Squash Moncton,Justin Saulnier,,,,,Junior bronze winner and 2 women's c/d finals. NB open and Atlantic's tournaments.,,My cousin Abigail Fleck.,"By chance and curiosity, I discovered the club and went in to see. There was a great club pro that welcomed me and I decided to play.",,0,0,0,0
2225,Imran Wadia,Alberta,Athlete,Badminton,22,183,69,,Bryan Moody and Ardy Wiranata,,,,My goal for the games is to get a medal!,My personal best result is winning CCAA Nationals,"CCAA Player of the Year
NAIT Athlete of the Year
NAIT Most Valuable Player",My parents!,My dad introduced me at a young age.,,1,1,1,3
2226,Kiera Wai,Ontario,Athlete,Gymnastics,15,152,46,Manjak's Gymnastics,"Kelly Manjak, Kelsey Arnold, Lisa Cowan",Athlete,N/A,N/A,Proudly represent team Ontario.,1st on beam at Elite Canada (2016).,"8th International Gymnix, beam finals (2017)",Max Domi (type 1 diabetic athlete),"When I was younger, my parents put me in parent and tot classes and it stuck.",,0,1,0,1
2227,Naomi Walch,Alberta,Athlete,Biathlon,16,180,72,Foothills Nordic Ski Club,Tyson Smith,,,,My goals for the games are to gain new exciting experiences.,My personal best result was when I got first in the Individual race at Nationals last year.,"In 2017, I received the Calforex Cup for the Senior Girls category.",,"Six years ago, I got involved with the Jackrabbits ski program. I quickly realized that I really enjoyed skate skiing and I was interested in shooting so I joined the Girls With Guns program and I've been doing biathlon ever since!",,1,0,1,2
2228,Alix Walchuk,Yukon,Athlete,Hockey,11,164,77,Whitehorse Mustangs,Candice MacEachen,Goalie,,,My goal is to keep focused the whole game and not let anyone distract me from the puck. I want to experience the games and meet people and make new friends.,"I think the best result I've had was winning provincials with my team down south, the NEBC Predators",I have received multiple MVPs at hockey tournaments I also have my Grade one in royal conservatory piano and I have won multiple horse shows. I have received many goalie game MVP's and won the Goalie skills competition in Ottawa last year.,My personal role model is my older brother Brett. He had left home at such an early age and that showed me I could do it too.,I like sports from a young age. My brother went to Canada Winter Games and I wanted to do the same.,,0,0,0,0
2229,Paige Walfield,Prince Edward Island,Athlete,Judo,12,5 2,102,Tjc,Sensi Chris Townsend,Green belt,None,None,To face some real competition and be able to give it my all out on the mats even if I don’t win I just wanna be able to go and fight as hard as I trained.,Training hard,Rookie of the year,Christopher Townsend and Tracy Gallant and George Mandumba,Through a friend,,0,0,0,0
2230,Amanda Paige Walker,Saskatchewan,Athlete,Gymnastics,15,,,Marian Gymnastics Club,Chris Baraniuk,,,,To make event finals for Beam,,2018 Provincial Beam Choreography Award,,,,0,0,0,0
2231,Emily Elizabeth Walker,Saskatchewan,Athlete,Gymnastics,17,,,Marian Gymnastics,Chris Baraniuk,,,,To place in the top 8 AA,,2018 - National Senior HP Floor Choreography Award,,,,0,0,0,0
2232,Kiersten Walker,Nova Scotia,Athlete,Ringette,19,,,,,,,,,,,,,,0,0,0,0
2233,Ben Wallace,Alberta,Athlete,Alpine Skiing,15,178,64,Sunshine Alpine Racers,Garrett Wilson,,,,,,,,,,0,0,0,0
2234,Hunter Wallace,Manitoba,Athlete,Hockey,15,5'4,119,Southwest Cougars,Hunter Wallace,Left Wing,wally1919,wally1919,Want to be the hardest working player on the ice at all times,My performance at the 2017-2018 Manitoba games,"Named to all-star team in Bantam AAA
Recieved highest physical education mark",My dad Tod because he played college hockey and want to follow in his foots step,My dad started to teach me how to skate when i was young .,,0,0,0,0
2235,Stefanie Wallace,British Columbia,Athlete,Hockey,17,170,,Oakville Junior PWHL,Stefanie Jane Wallace,Defence,stef01wallace,stef01wallace,To represent our province well and win gold and to leave a mark for BC athletes to come. And meet new people,,"athlete of the year Point grey secondary school (2015, 2016)",,,,0,0,1,1
2236,Jacob Walper,British Columbia,Athlete,Snowboard,16,182,73,Team BC Snowboard Cross,Meghan Hebert Chris Nakonechny,,,,,,,,,,0,0,0,0
2237,Maddy Walsh,Nova Scotia,Athlete,Hockey,17,164,63,Kings Edge-Hill School,Izzy Germain,Defence,maddywalsh66,maddywalsh66,To make it into the medal rounds.,Making the Canada Games team,"Honours tie/pin: Having an average of 85% or above (2015,2016,2017,2018)
Duke of Edinburgh Award (2015)",My head coach Izzy Germain,My older sister played it so my dad signed me up too,,0,0,0,0
2238,Nolan Walsh,Newfoundland and Labrador,Athlete,Judo,16,176 cm,59 kg,Goose Bay Judo Club,"Colin Jacobs, Mike Montague",,,,To compete to the best of my ability and to meet new people.,Bronze at the 2018 Atlantic Open,2015 Neil Simon award for dedication and respect.,Shadey El Nahas,Friends,,0,0,0,0
2239,Tia Wamboldt,Nova Scotia,Athlete,Gymnastics,21,155,125,,Stewart Gunn,athlete,,,My goals for the Canada Winter Games is to try my best during the competition and hopefully have a great performance. I would also like to meet some amazing athletes from a variety of sports coming from all across Canada.,,,"My personal role model would be my parents. They both have taught me to always try my best and to go for things that I am passionate about, even when it may seem intimidating at the time. They always encourage me to do things that make me happy and to persevere when there is an obstacle for me to try and overcome.",I got involved with sport when I was young because I had always admired my older sister and wanted to be like her. I thought it was the coolest thing that she was able to do flips and by seeing her enjoy the sport so much it made me want to join.,,0,0,0,0
2240,Annie Wang,British Columbia,Athlete,Artistic Swimming,15,160,48,BC Aquasonics,Tanya Magee,,,,My goal for the games is to do my best and not let my team down.,,,"My older brother. He's a super hard worker and never stops until he gets where he wants, and even then, he just keeps going. I don't see him very often because he's 15 years older than me, but I look up to him and he's always teaching me new things and encouraging me.","My neighbour when I was young did synchronized swimming and I wanted to be just like her, so I tried it and I loved it!",,0,0,0,0
2241,Desmond Wang,Alberta,Athlete,Badminton,19,180,63.5,B-Active Badminton Club,Wen Wang,,,,,,,,,,1,0,0,1
2242,Steve Wang,British Columbia,Athlete,Table Tennis,15,170,53,Bridgeport sports club,Paul Y,coach,,,Win medals.,2018 Canadian National Juniors Championships Cadet Team 1st,2018 U15 Cadet Boy Single Bronze,Jike Zhang,Interesting and Love,,0,2,1,3
2243,Takeisha Wang,Alberta,Athlete,Badminton,21,,,B-Active Badminton Club,Wang Wen,,,,,,,,,,1,1,0,2
2244,Colin Ward,Nova Scotia,Athlete,Cross Country Skiing,21,176,70,Carleton Nordic Ski Team,Daniel Murray,,,,I would like to get a top 10 result,,,,,,0,0,0,0
2245,Brianna Ware,Quebec,Athlete,Hockey,16,,,,,,,,,,,,,,0,1,0,1
2246,Hugh Warkentin,Newfoundland and Labrador,Athlete,Cross Country Skiing,18,183,71,Team Telemark,Adam Elliot,Athlete,,,I would like to achieve a top 10 finish in one of the individual races.,3rd place in the 5km mass start skate race at the 2018 Noram World Junior Trials/Quebec Cup/ Ontario cup day 2 in Mount Sainte Anne Quebec,J.S.Rigler Award,Noah Hoffman,My parents brought me skiing at Blow-Me-Down ski trails when I was very young,,0,0,0,0
2247,Aaron Warkentine,Manitoba,Athlete,Cross Country Skiing,16,180,59,Boundary Trails Nordic,Lorne Warkentine,,,,,,,,My father got me skiing when I was 4 since he was already in the ski community and only got more involved as we started racing..,,0,0,0,0
2248,Tessa Warkentine,Manitoba,Athlete,Cross Country Skiing,18,163cm,49 kg,Boundary Trails Nordic,Lorne Warkentine,,,,My goals are to try and improve my times while dealing with the stress of a large competition.,"First place during a provincial championships, and being on a gold medal relay team at the 2014 Manitoba games.","Several provincial championships, being selected for out of province trips such as the Eastern National Championships.",,"My dad has been involved in coaching cross country skiing since I can remember, I started in the Jackrabbits program at age of 4, and from there I've never missed a season of skiing.",,0,0,0,0
2249,Nicholas Warkman,Alberta,Athlete,Curling,18,174,82.5,,Nicole Bellamy,Second,,,To make friends and create memories inside a competitive environment. Also to place on the podium.,Going undefeated on an international stage at the Bill Ross trophy in Sweden.,"Athlete of the year- 2018, Oilfields High School
MVP for Rugby- 2018, Oilfields Drillers.",Ben Hebert,Close friends joined so I Joined with them at age 8.,,0,0,0,0
2250,Jade Warren,Ontario,Athlete,Artistic Swimming,17,,,GO Capital,Genevieve Beauregarde-Ross,,,,"My goal for the games is to have fun with this amazing and new experience and meet new people in different sports from all over
Canada. I am so excited to represent my province with my teammates and hopefully bring home a few medals.",I won gold with my team at the 2018 UANA Pan-American Championships and my personal best for the duet event is second at the 2018 Provincial Championships.,I've won my club (GO Capital) Excellence Award for the in 2016-2017 and 2017-2018 seasons. My duet partner and I were the 2015 Ottawa Sport Award winners for the Synchronized Swimming duet category.,There is no one specific role model or person who I look up to. My teammates and coaches all inspire me to be a better athlete because of their dedication and passion for the sport. I am so grateful and lucky to be surrounded by amazing people at the pool everyday.,"When I was around 8 years old I was at the pool for swimming lessons and I saw an artistic swimming team practicing. I was interested from that first time when I watched the sport. It had everything I love: dancing, music and swimming. Soon after I joined a club to try it out and have been swimming ever since.",,0,0,1,1
2251,Karlee Warren,Newfoundland and Labrador,Athlete,Table Tennis,13,161,46.5,Dorset Collegiate,Mark Warren,,,,"My goals for the games are to have fun and meet new people, also to play the best I can and play fair.","Gold in U18 female singles at 2017 NLTTA Eastern Open.
Silver in U17 female singles at 2018 NL Winter Games.","Some awards and honours include Team Silver at 2018 Atlantics, U15 doubles gold at Atlantics, U18 female singles at 2018 Avalon Open, Eastern Open and Western Open.",My personal role model is my father Mark Warren.,I got involved in this sport because my father encouraged me to play because he is good at it and he enjoys coaching it.,,0,0,0,0
